model,dataset,lookback,horizon,mse_mean,mse_std,mae_mean,mae_std,params,flops,sec_per_epoch,peak_mem,n_seeds
dlinear,ETTm1,336,96,0.300266,0.0009228369303403495,0.343771,0.00047808681220047844,64704,129024,3.4254666666666664,71.3,3
dlinear,ETTm1,336,192,0.33744599999999997,0.0019589494633604244,0.36815333333333333,0.003286657927642195,129408,258048,3.4463333333333335,72.9,3
dlinear,ETTm1,336,336,0.37160166666666666,0.0005619905100029013,0.38951833333333336,0.0006069319017264932,226464,451584,3.6007666666666664,75.4,3
dlinear,ETTm1,336,720,0.4277863333333333,0.004140379853749317,0.4244536666666667,0.0056488080453608305,485280,967680,3.7101,81.9,3
dlinear,ETTm2,96,96,0.19076366666666666,0.0019985898361928383,0.28713133333333335,0.0038566488475531915,18624,36864,2.980333333333333,69.5,3
dlinear,ETTm2,96,192,0.27283966666666665,0.006543595673124471,0.3475076666666667,0.010058986347208825,37248,73728,3.8038666666666665,70.4,3
dlinear,ETTm2,96,336,0.3481376666666667,0.014968713115472989,0.39962800000000004,0.012799187005431223,65184,129024,3.7886,71.7,3
dlinear,ETTm2,96,720,0.527343,0.0534736650043739,0.505038,0.031973440055771254,139680,276480,3.5955,75.3,3
dlinear,ETTm2,336,96,0.168978,0.001808820886655163,0.26466799999999996,0.0019675047649243198,64704,129024,4.280866666666666,71.3,3
dlinear,ETTm2,336,192,0.228885,0.0061087779465290705,0.30764033333333335,0.008577450106723653,129408,258048,3.767466666666667,72.9,3
dlinear,ETTm2,336,336,0.3043423333333333,0.02312693583969421,0.362139,0.022230360343458214,226464,451584,3.2125999999999997,75.4,3
dlinear,ETTm2,336,720,0.43068599999999996,0.016725212494913197,0.4427273333333333,0.010246142412309764,485280,967680,3.9247666666666667,81.9,3
dlinear,weather,96,96,0.19663366666666668,0.002408662353534288,0.25670333333333334,0.004377555520302771,18624,36864,4.099333333333333,71.6,3
dlinear,weather,96,192,0.244165,0.006545440626879134,0.3055776666666667,0.01001455013135054,37248,73728,3.7887,73.7,3
dlinear,weather,96,336,0.284696,0.0020556125607711197,0.3356396666666666,0.0023206086126991094,65184,129024,3.8334333333333332,76.8,3
dlinear,weather,96,720,0.3496316666666666,0.00438149088020656,0.3868203333333333,0.005808182532714805,139680,276480,3.746166666666667,86.09999999999998,3
dlinear,weather,336,96,0.17399,0.00032669404647161826,0.23473266666666667,0.0007713120855615709,64704,129024,3.8500666666666667,75.5,3
dlinear,weather,336,192,0.21653633333333333,0.0005818808583664988,0.27521733333333337,0.0016299896727688886,129408,258048,23.428266666666662,78.4,3
dlinear,weather,336,336,0.2617313333333333,0.0012130726826259826,0.31267033333333333,0.002652771066890867,226464,451584,3.615766666666667,82.6,3
dlinear,weather,336,720,0.33325,0.0070440185263810975,0.37560333333333334,0.00918579013113915,485280,967680,3.891933333333333,94.90000000000002,3
fits,ETTh1,96,96,0.40855266666666673,0.0008644803834288842,0.41705733333333334,0.00042087567443763744,624,2304,0.8851999999999999,68.7,3
fits,ETTh1,96,192,0.45866266666666666,0.0013282711821512026,0.44554833333333327,0.0010990401873149742,936,3456,1.1158333333333335,69.5,3
fits,ETTh1,96,336,0.5037416666666666,0.004775971977863124,0.470431,0.004689486539057326,1404,5184,0.9180333333333333,70.7,3
fits,ETTh1,96,720,0.496191,0.007186400768117483,0.488319,0.005452464672054278,2652,9792,1.0230333333333332,73.9,3
fits,ETTh1,336,96,0.3985336666666666,0.0003746549523672593,0.4190483333333333,0.00029280938054194533,4644,18144,0.9140666666666667,70.8,3
fits,ETTh1,336,192,0.42926200000000003,0.00014831385639920843,0.43631533333333333,0.0001884206287361924,5676,22176,0.8785999999999999,71.6,3
fits,ETTh1,336,336,0.451103,0.000386279691415431,0.4481603333333333,4.020364825899562e-05,7224,28224,1.8887,72.8,3
fits,ETTh1,336,720,0.446961,0.0008817975958234568,0.46636000000000005,0.001289435147651864,11352,44352,1.3346,76.1,3
fits,ETTh2,96,96,0.30279033333333333,4.618802153505601e-06,0.3490743333333333,0.0006574650814555517,624,2304,0.8593999999999999,68.7,3
fits,ETTh2,96,192,0.38650500000000004,0.000685566189364659,0.398465,0.0006276440073799703,936,3456,1.0012999999999999,69.5,3
fits,ETTh2,96,336,0.424074,0.0006328420023987086,0.4320293333333334,0.00013528611655797018,1404,5184,0.9771666666666667,70.7,3
fits,ETTh2,96,720,0.4287113333333334,0.0003933933570020682,0.4442646666666667,0.0005079786740930536,2652,9792,0.9394999999999999,73.9,3
fits,ETTh2,336,96,0.2851013333333333,0.0006514363616911001,0.34561000000000003,0.000336967357469537,4644,18144,1.0532333333333332,70.8,3
fits,ETTh2,336,192,0.3444673333333334,0.0004436015479383723,0.383465,0.00040505925492449984,5676,22176,0.9498333333333333,71.6,3
